id;membership_id;document_date;value_date;action;amount;remark
210001;1;2001-05-10;2001-05-11;PAYMENT;64;some|multiline|1. instalment|just to produce some more rows for tests :-)
210002;1;2001-05-10;2001-05-12;PAYMENT;64;some|multiline|2. instalment
210003;1;2001-05-10;2001-05-13;PAYMENT;64;some|multiline|3. instalment
210004;1;2001-05-10;2001-05-14;PAYMENT;64;some|multiline|4. instalment
210005;1;2001-05-10;2001-05-15;PAYMENT;64;some|multiline|5. instalment
210006;1;2001-05-10;2001-05-16;PAYMENT;64;some|multiline|6. instalment
210007;1;2001-05-10;2001-05-17;PAYMENT;64;some|multiline|7. instalment
210008;1;2001-05-10;2001-05-18;PAYMENT;64;some|multiline|8. instalment
210009;1;2001-05-10;2001-05-19;PAYMENT;64;some|multiline|9. instalment
210010;1;2001-05-10;2001-05-20;PAYMENT;64;some|multiline|10. instalment
210011;1;2001-05-10;2001-05-21;PAYMENT;64;some|multiline|11. instalment
210012;1;2001-05-10;2001-05-22;PAYMENT;64;some|multiline|12. instalment
210013;1;2001-05-10;2001-05-23;PAYMENT;64;some|multiline|13. instalment
210014;1;2001-05-10;2001-05-24;PAYMENT;64;some|multiline|14. instalment
210015;1;2001-05-10;2001-05-25;PAYMENT;64;some|multiline|15. instalment
210016;1;2001-05-10;2001-05-26;PAYMENT;64;some|multiline|16. instalment
210017;1;2007-09-09;2008-07-10;PAYBACK;512;1. instalment
210018;1;2007-09-09;2009-07-10;PAYBACK;512;2. instalment
210019;2;2017-02-15;2017-02-15;PAYMENT;512;became a member again
210020;2;2017-02-15;2017-02-15;PAYMENT;64;just writing something
210021;3;2003-06-11;2003-06-11;PAYMENT;256;some comment
210022;3;2003-06-15;2004-07-03;PAYBACK;256;cancelled membership
210023;4;2017-06-15;2017-05-17;PAYMENT;1024;
210024;5;2011-09-18;2011-09-01;PAYMENT;640;
210101;5;2013-01-15;2013-01-01;PAYMENT;64;signed more shares|1. installment
210102;5;2013-01-15;2013-01-02;PAYMENT;64;signed more shares|2. installment
210103;5;2013-01-15;2013-01-03;PAYMENT;64;signed more shares|3. installment
210104;5;2013-01-15;2013-01-04;PAYMENT;64;signed more shares|4. installment
210105;5;2013-01-15;2013-01-05;PAYMENT;64;signed more shares|5. installment
210106;5;2013-01-15;2013-01-06;PAYMENT;64;signed more shares|6. installment
210107;5;2013-01-15;2013-01-07;PAYMENT;64;signed more shares|7. installment
210108;5;2013-01-15;2013-01-08;PAYMENT;64;signed more shares|8. installment
210109;5;2013-01-15;2013-01-09;PAYMENT;64;signed more shares|9. installment
210110;5;2013-01-15;2013-01-10;PAYMENT;64;signed more shares|10. installment
210111;5;2013-01-15;2013-01-11;PAYMENT;64;signed more shares|11. installment
210112;5;2013-01-15;2013-01-12;PAYMENT;64;signed more shares|12. installment
210123;5;2013-01-15;2013-01-13;PAYMENT;64;signed more shares|13. installment
210124;5;2013-01-15;2013-01-14;PAYMENT;64;signed more shares|14. installment
210125;5;2013-01-15;2013-01-15;PAYMENT;64;signed more shares|15. installment
210126;5;2013-01-15;2013-01-16;PAYMENT;64;signed more shares|16. installment
210127;5;2013-01-15;2013-01-17;PAYMENT;64;signed more shares|17. installment
210128;5;2013-01-15;2013-01-18;PAYMENT;64;signed more shares|18. installment
210129;5;2013-01-15;2013-01-19;PAYMENT;64;signed more shares|19. installment
210130;5;2013-01-15;2013-01-20;PAYMENT;64;signed more shares|20. installment
210230;5;2017-12-22;2018-07-01;PAYBACK;160;cancelled most of their shares|1. installment|just to produce more rows for tests :-)
210231;5;2017-12-22;2018-07-02;PAYBACK;160;cancelled most of their shares|2. installment|just to produce more rows for tests :-)
210232;5;2017-12-22;2018-08-03;PAYBACK;160;cancelled most of their shares|3. installment|just to produce more rows for tests :-)
210233;5;2017-12-22;2018-09-04;PAYBACK;160;cancelled most of their shares|4. installment|just to produce more rows for tests :-)
210234;5;2017-12-22;2018-10-05;PAYBACK;160;cancelled most of their shares|5. installment|just to produce more rows for tests :-)
210235;5;2017-12-22;2018-11-06;PAYBACK;160;cancelled most of their shares|6. installment|just to produce more rows for tests :-)
210236;5;2017-12-22;2018-12-07;PAYBACK;160;cancelled most of their shares|7. installment|just to produce more rows for tests :-)
210237;5;2017-12-22;2019-01-08;PAYBACK;160;cancelled most of their shares|8. installment|just to produce more rows for tests :-)
210238;5;2017-12-22;2019-02-09;PAYBACK;160;cancelled most of their shares|9. installment|just to produce more rows for tests :-)
210239;5;2017-12-22;2019-03-10;PAYBACK;160;cancelled most of their shares|10. installment|just to produce more rows for tests :-)



